ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-07-01,585.241875,527.3116968928432,620.248055658377,585.241875,585.241875,-9.221470808422707,-9.221470808422707,-9.221470808422707,-9.221470808422707,-9.221470808422707,-9.221470808422707,0.0,0.0,0.0,576.0204041915773
2019-07-02,585.1282223498499,528.9053679375548,619.7576500751803,585.1282223498499,585.1282223498499,-10.175177444066025,-10.175177444066025,-10.175177444066025,-10.175177444066025,-10.175177444066025,-10.175177444066025,0.0,0.0,0.0,574.9530449057839
2019-07-03,585.0145696996997,533.629796883323,618.6674251423382,585.0145696996997,585.0145696996997,-9.413089131798149,-9.413089131798149,-9.413089131798149,-9.413089131798149,-9.413089131798149,-9.413089131798149,0.0,0.0,0.0,575.6014805679015
2019-07-04,584.9009170495495,530.9061144519299,617.4331424119546,584.9009170495495,584.9009170495495,-9.276227399999653,-9.276227399999653,-9.276227399999653,-9.276227399999653,-9.276227399999653,-9.276227399999653,0.0,0.0,0.0,575.6246896495499
2019-07-05,584.7872643993994,532.6614133218121,619.1387649775686,584.7872643993994,584.7872643993994,-9.39409893078707,-9.39409893078707,-9.39409893078707,-9.39409893078707,-9.39409893078707,-9.39409893078707,0.0,0.0,0.0,575.3931654686123
2019-07-08,584.4463064489489,530.8112254536223,620.0078069950328,584.4463064489489,584.4463064489489,-9.22147080831742,-9.22147080831742,-9.22147080831742,-9.22147080831742,-9.22147080831742,-9.22147080831742,0.0,0.0,0.0,575.2248356406315
2019-07-09,584.3326537987988,529.2304754187514,617.2650214436356,584.3326537987988,584.3326537987988,-10.17517744408404,-10.17517744408404,-10.17517744408404,-10.17517744408404,-10.17517744408404,-10.17517744408404,0.0,0.0,0.0,574.1574763547147
2019-07-10,584.2190011486487,533.9127085038195,617.3516129353268,584.2190011486487,584.2190011486487,-9.413089131763185,-9.413089131763185,-9.413089131763185,-9.413089131763185,-9.413089131763185,-9.413089131763185,0.0,0.0,0.0,574.8059120168855
2019-07-11,584.1053484984985,529.6383695701278,619.9531911651932,584.1053484984985,584.1053484984985,-9.27622739993031,-9.27622739993031,-9.27622739993031,-9.27622739993031,-9.27622739993031,-9.27622739993031,0.0,0.0,0.0,574.8291210985682
2019-07-12,583.9916958483484,530.4577429684762,618.2280761269609,583.9916958483484,583.9916958483484,-9.394098930862766,-9.394098930862766,-9.394098930862766,-9.394098930862766,-9.394098930862766,-9.394098930862766,0.0,0.0,0.0,574.5975969174856
2019-07-15,583.6507378978979,530.1242544492403,617.8260150412945,583.6507378978979,583.6507378978979,-9.221470808253699,-9.221470808253699,-9.221470808253699,-9.221470808253699,-9.221470808253699,-9.221470808253699,0.0,0.0,0.0,574.4292670896442
2019-07-16,583.5370852477478,529.5046066274465,616.7945785690827,583.5370852477478,583.5370852477478,-10.175177444102056,-10.175177444102056,-10.175177444102056,-10.175177444102056,-10.175177444102056,-10.175177444102056,0.0,0.0,0.0,573.3619078036457
2019-07-17,583.4234325975975,528.1489325104994,618.7455702299212,583.4234325975975,583.4234325975975,-9.413089131831537,-9.413089131831537,-9.413089131831537,-9.413089131831537,-9.413089131831537,-9.413089131831537,0.0,0.0,0.0,574.010343465766
2019-07-18,583.3097799474474,528.3919625304188,614.704992307682,583.3097799474474,583.3097799474474,-9.276227400038502,-9.276227400038502,-9.276227400038502,-9.276227400038502,-9.276227400038502,-9.276227400038502,0.0,0.0,0.0,574.0335525474089
2019-07-19,583.1961272972973,531.0456600224962,617.4028466835267,583.1961272972973,583.1961272972973,-9.394098930750902,-9.394098930750902,-9.394098930750902,-9.394098930750902,-9.394098930750902,-9.394098930750902,0.0,0.0,0.0,573.8020283665463
2019-07-22,582.8551693468469,531.5236791597667,619.6456940546707,582.8551693468469,582.8551693468469,-9.221470808275173,-9.221470808275173,-9.221470808275173,-9.221470808275173,-9.221470808275173,-9.221470808275173,0.0,0.0,0.0,573.6336985385717
2019-07-23,582.7415166966966,530.4651521151931,613.4568201071694,582.7415166966966,582.7415166966966,-10.175177444040461,-10.175177444040461,-10.175177444040461,-10.175177444040461,-10.175177444040461,-10.175177444040461,0.0,0.0,0.0,572.5663392526561
2019-07-24,582.6278640465465,529.6844997757038,618.4361231701956,582.6278640465465,582.6278640465465,-9.41308913182809,-9.41308913182809,-9.41308913182809,-9.41308913182809,-9.41308913182809,-9.41308913182809,0.0,0.0,0.0,573.2147749147184
2019-07-25,582.5142113963964,530.1281907721326,618.3322552897114,582.5142113963964,582.5142113963964,-9.276227399935163,-9.276227399935163,-9.276227399935163,-9.276227399935163,-9.276227399935163,-9.276227399935163,0.0,0.0,0.0,573.2379839964613
2019-07-26,582.4005587462462,530.2045532859307,616.8649321677975,582.4005587462462,582.4005587462462,-9.394098930813577,-9.394098930813577,-9.394098930813577,-9.394098930813577,-9.394098930813577,-9.394098930813577,0.0,0.0,0.0,573.0064598154327
2019-07-29,582.0596007957957,529.0543957948697,616.6701526031551,582.0596007957957,582.0596007957957,-9.22147080825302,-9.22147080825302,-9.22147080825302,-9.22147080825302,-9.22147080825302,-9.22147080825302,0.0,0.0,0.0,572.8381299875427
2019-07-30,581.9459481456456,530.2372603125929,614.9035820187324,581.9459481456456,581.9459481456456,-10.175177444138882,-10.175177444138882,-10.175177444138882,-10.175177444138882,-10.175177444138882,-10.175177444138882,0.0,0.0,0.0,571.7707707015068
2019-07-31,581.8322954954955,528.7330182611722,614.3204805095966,581.8322954954955,581.8322954954955,-9.413089131793125,-9.413089131793125,-9.413089131793125,-9.413089131793125,-9.413089131793125,-9.413089131793125,0.0,0.0,0.0,572.4192063637024
2019-08-01,581.7186428453454,527.0002305842464,613.1550770899789,581.7186428453454,581.7186428453454,-9.276227400077351,-9.276227400077351,-9.276227400077351,-9.276227400077351,-9.276227400077351,-9.276227400077351,0.0,0.0,0.0,572.442415445268
2019-08-02,581.6049901951952,526.1839904355539,617.8715618416916,581.6049901951952,581.6049901951952,-9.39409893078898,-9.39409893078898,-9.39409893078898,-9.39409893078898,-9.39409893078898,-9.39409893078898,0.0,0.0,0.0,572.2108912644062
2019-08-05,581.2640322447447,528.3730249341588,614.3073969179135,581.2640322447447,581.2640322447447,-9.221470808316063,-9.221470808316063,-9.221470808316063,-9.221470808316063,-9.221470808316063,-9.221470808316063,0.0,0.0,0.0,572.0425614364286
2019-08-06,581.1503795945946,525.1538704259721,613.1009545661266,581.1503795945946,581.1503795945946,-10.175177444076493,-10.175177444076493,-10.175177444076493,-10.175177444076493,-10.175177444076493,-10.175177444076493,0.0,0.0,0.0,570.9752021505182
2019-08-07,581.0367269444445,527.4797362372111,613.0227111493782,581.0367269444445,581.0367269444445,-9.41308913175816,-9.41308913175816,-9.41308913175816,-9.41308913175816,-9.41308913175816,-9.41308913175816,0.0,0.0,0.0,571.6236378126863
2019-08-08,580.9230742942943,527.2622083378093,614.333298851478,580.9230742942943,580.9230742942943,-9.27622739997401,-9.27622739997401,-9.27622739997401,-9.27622739997401,-9.27622739997401,-9.27622739997401,0.0,0.0,0.0,571.6468468943203
2019-08-09,580.8094216441442,530.217142751273,614.5422045041162,580.8094216441442,580.8094216441442,-9.394098930864676,-9.394098930864676,-9.394098930864676,-9.394098930864676,-9.394098930864676,-9.394098930864676,0.0,0.0,0.0,571.4153227132796
2019-08-12,580.4684636936937,528.4511679832356,614.0734924399819,580.4684636936937,580.4684636936937,-9.221470808295976,-9.221470808295976,-9.221470808295976,-9.221470808295976,-9.221470808295976,-9.221470808295976,0.0,0.0,0.0,571.2469928853977
2019-08-13,580.3548110435436,526.3731131492966,612.8427994109496,580.3548110435436,580.3548110435436,-10.175177444094512,-10.175177444094512,-10.175177444094512,-10.175177444094512,-10.175177444094512,-10.175177444094512,0.0,0.0,0.0,570.1796335994491
2019-08-14,580.2411583933934,524.5104800979069,616.6671473555544,580.2411583933934,580.2411583933934,-9.41308913185803,-9.41308913185803,-9.41308913185803,-9.41308913185803,-9.41308913185803,-9.41308913185803,0.0,0.0,0.0,570.8280692615355
2019-08-15,580.1275057432433,526.4572582790316,613.4470298105764,580.1275057432433,580.1275057432433,-9.276227400010432,-9.276227400010432,-9.276227400010432,-9.276227400010432,-9.276227400010432,-9.276227400010432,0.0,0.0,0.0,570.8512783432329
2019-08-16,580.0138530930932,527.9857594689921,611.7256752162743,580.0138530930932,580.0138530930932,-9.39409893092735,-9.39409893092735,-9.39409893092735,-9.39409893092735,-9.39409893092735,-9.39409893092735,0.0,0.0,0.0,570.6197541621658
2019-08-19,579.6728951426427,527.0008915601275,615.226012858635,579.6728951426427,579.6728951426427,-9.22147080827382,-9.22147080827382,-9.22147080827382,-9.22147080827382,-9.22147080827382,-9.22147080827382,0.0,0.0,0.0,570.4514243343689
2019-08-20,579.5592424924926,527.6211146028897,612.3501132148602,579.5592424924926,579.5592424924926,-10.175177444032911,-10.175177444032911,-10.175177444032911,-10.175177444032911,-10.175177444032911,-10.175177444032911,0.0,0.0,0.0,569.3840650484597
2019-08-21,579.4455898423423,526.4478097217265,615.6685535943116,579.4455898423423,579.4455898423423,-9.41308913171975,-9.41308913171975,-9.41308913171975,-9.41308913171975,-9.41308913171975,-9.41308913171975,0.0,0.0,0.0,570.0325007106226
2019-08-22,579.3319371921922,523.945986388795,614.9816943461958,579.3319371921922,579.3319371921922,-9.276227400046857,-9.276227400046857,-9.276227400046857,-9.276227400046857,-9.276227400046857,-9.276227400046857,0.0,0.0,0.0,570.0557097921453
2019-08-23,579.218284542042,528.0441960034511,612.8702033652802,579.218284542042,579.218284542042,-9.394098930815487,-9.394098930815487,-9.394098930815487,-9.394098930815487,-9.394098930815487,-9.394098930815487,0.0,0.0,0.0,569.8241856112265
2019-08-26,578.8773265915916,524.9561461392378,610.9914970040943,578.8773265915916,578.8773265915916,-9.221470808295297,-9.221470808295297,-9.221470808295297,-9.221470808295297,-9.221470808295297,-9.221470808295297,0.0,0.0,0.0,569.6558557832963
2019-08-27,578.7636739414414,526.4077295982831,609.5359487810132,578.7636739414414,578.7636739414414,-10.175177443970526,-10.175177443970526,-10.175177443970526,-10.175177443970526,-10.175177443970526,-10.175177443970526,0.0,0.0,0.0,568.5884964974709
2019-08-28,578.6500212912913,524.7914641579845,612.2903025192584,578.6500212912913,578.6500212912913,-9.41308913181962,-9.41308913181962,-9.41308913181962,-9.41308913181962,-9.41308913181962,-9.41308913181962,0.0,0.0,0.0,569.2369321594716
