日期 , 日本  , 南韓 , 香港 , 新加坡 , 上海 , 舟山 , CPC 
2019/7/1,562.50 ,599.25 ,554.25 ,546.00 ,561.25 ,,580.00 
2019/7/2,552.50 ,589.25 ,544.25 ,536.00 ,551.25 ,,587.00 
2019/7/3,541.50 ,578.25 ,533.25 ,525.00 ,540.25 ,,572.00 
2019/7/4,555.00 ,560.00 ,535.00 ,523.00 ,540.00 ,,567.00 
2019/7/5,560.00 ,540.00 ,536.00 ,525.00 ,542.00 ,,567.00 
2019/7/8,565.00 ,545.00 ,540.00 ,530.00 ,547.00 ,,570.00 
2019/7/9,560.00 ,544.00 ,537.00 ,527.00 ,542.00 ,,575.00 
2019/7/10,565.00 ,555.00 ,552.00 ,543.00 ,557.00 ,,575.00 
2019/7/11,592.00 ,582.00 ,579.00 ,570.00 ,584.00 ,,595.00 
2019/7/12,574.00 ,564.00 ,561.00 ,553.00 ,566.00 ,,635.00 
2019/7/15,554.00 ,544.00 ,541.00 ,540.00 ,546.00 ,,610.00 
2019/7/16,540.00 ,533.00 ,528.00 ,525.00 ,535.00 ,,585.00 
2019/7/17,542.00 ,538.00 ,529.00 ,526.00 ,536.00 ,,570.00 
2019/7/18,536.00 ,536.00 ,526.00 ,520.00 ,533.00 ,,570.00 
2019/7/19,540.00 ,541.00 ,527.00 ,522.00 ,534.00 ,,573.00 
2019/7/22,543.00 ,545.00 ,545.00 ,526.50 ,538.00 ,,578.00 
2019/7/23,532.00 ,534.00 ,530.00 ,515.00 ,527.00 ,,581.00 
2019/7/24,535.00 ,537.00 ,522.00 ,516.00 ,530.00 ,,581.00 
2019/7/25,543.00 ,545.00 ,528.00 ,523.00 ,538.00 ,,584.00 
2019/7/26,545.00 ,547.00 ,530.00 ,526.00 ,539.00 ,,599.00 
2019/7/29,544.00 ,546.00 ,529.00 ,524.00 ,538.00 ,,599.00 
2019/7/30,550.00 ,552.00 ,535.00 ,530.00 ,544.00 ,,599.00 
2019/7/31,567.00 ,569.00 ,552.00 ,548.00 ,561.00 ,,599.00 
2019/8/1,562.00 ,562.00 ,545.00 ,541.00 ,554.00 ,,599.00 
2019/8/2,536.00 ,537.00 ,520.00 ,515.00 ,529.00 ,,599.00 
2019/8/5,532.00 ,533.00 ,516.00 ,510.00 ,525.00 ,,574.00 
2019/8/6,524.00 ,524.00 ,507.00 ,500.00 ,516.00 ,,564.00 
2019/8/7,519.00 ,519.00 ,502.00 ,485.00 ,516.00 ,,554.00 
2019/8/8,504.00 ,504.00 ,487.00 ,467.00 ,501.00 ,,554.00 
2019/8/9,504.00 ,504.00 ,487.00 ,467.00 ,501.00 ,,554.00 
2019/8/12,504.00 ,504.00 ,487.00 ,467.00 ,501.00 ,,544.00 
2019/8/13,499.00 ,499.00 ,482.00 ,462.00 ,496.00 ,,534.00 
2019/8/14,515.00 ,515.00 ,498.00 ,478.00 ,512.00 ,,524.00 
2019/8/15,497.00 ,497.00 ,480.00 ,460.00 ,494.00 ,,524.00 
2019/8/16,505.00 ,505.00 ,488.00 ,468.00 ,502.00 ,,509.00 
2019/8/19,512.00 ,512.00 ,495.00 ,475.50 ,509.00 ,,514.00 
2019/8/20,513.50 ,513.50 ,496.50 ,477.00 ,510.50 ,,519.00 
2019/8/21,516.50 ,516.50 ,499.50 ,480.00 ,513.50 ,,519.00 
2019/8/22,529.00 ,529.00 ,512.00 ,492.00 ,526.00 ,,524.00 
2019/8/23,535.00 ,535.00 ,515.00 ,497.00 ,530.00 ,,534.00 
2019/8/26,538.00 ,538.00 ,518.00 ,500.00 ,533.00 ,,534.00 
2019/8/27,543.00 ,543.00 ,523.00 ,510.00 ,538.00 ,,539.00 
2019/8/28,553.00 ,553.00 ,533.00 ,520.00 ,548.00 ,,549.00 
2019/8/29,543.00 ,543.00 ,523.00 ,510.00 ,538.00 ,,579.00 
2019/8/30,553.00 ,553.00 ,553.00 ,520.00 ,548.00 ,,579.00 
2019/9/2,528.00 ,530.00 ,510.00 ,495.00 ,525.00 ,,574.00 
2019/9/3,523.00 ,525.00 ,505.00 ,490.00 ,520.00 ,,559.00 
2019/9/4,535.00 ,535.00 ,520.00 ,500.00 ,530.00 ,,549.00 
2019/9/5,550.00 ,550.00 ,535.00 ,515.00 ,545.00 ,,559.00 
